" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
INDIA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"15,10,32,898","43,538","6,11,54,743","4,61,80,064","2,09,10,465","1,07,91,101","47,79,531","58,28,763","13,44,693"
,2-Jan,"1,82,38,052","6,245","1,06,87,910","48,18,884","14,66,431","5,77,407","2,07,399","2,62,013","2,11,763"
,5-Mar,"6,71,19,386","18,479","3,06,80,731","2,11,52,535","82,37,659","36,14,813","13,71,935","13,83,056","6,60,178"
,8-Jun,"4,60,45,797","12,324","1,59,31,026","1,50,99,231","74,14,044","38,36,599","16,30,478","17,63,881","3,58,214"
 ,      9+      ,"1,96,29,663","6,490","38,55,076","51,09,414","37,92,331","27,62,282","15,69,719","24,19,813","1,14,538"
Owned ,,,,,,,,,,
,Total,"13,04,03,246","28,807","5,08,47,946","3,99,80,895","1,85,04,410","99,32,093","45,18,140","54,28,118","11,62,837"
,2-Jan,"1,41,61,668","3,803","81,02,239","38,52,029","11,67,859","4,78,767","1,77,882","2,08,785","1,70,304"
,5-Mar,"5,61,16,811","12,111","2,53,03,078","1,77,63,482","68,88,494","31,49,368","12,32,697","12,10,184","5,57,397"
,8-Jun,"4,15,41,603","8,169","1,39,62,764","1,35,94,966","68,12,335","36,16,817","15,66,176","16,52,240","3,28,136"
 ,      9+      ,"1,85,83,164","4,724","34,79,865","47,70,418","36,35,722","26,87,141","15,41,385","23,56,909","1,07,000"
Rented , ,,,,,,,,,
,Total,"1,78,88,004","10,096","88,23,871","55,63,748","21,29,473","7,59,521","2,28,912","2,31,221","1,41,162"
,2-Jan,"34,57,648","1,856","21,92,975","8,44,778","2,52,909","82,129","23,841","28,053","31,107"
,5-Mar,"96,60,430","4,385","46,33,511","30,75,371","12,14,501","4,18,702","1,24,326","1,06,541","83,093"
,8-Jun,"38,81,631","2,761","16,75,673","13,42,368","5,27,672","1,93,679","56,543","61,319","21,616"
 ,      9+      ,"8,88,295","1,094","3,21,712","3,01,231","1,34,391","65,011","24,202","35,308","5,346"
Others ,,,,,,,,,,
,Total,"27,41,648","4,635","14,82,926","6,35,421","2,76,582","99,487","32,479","1,69,424","40,694"
,2-Jan,"6,18,736",586,"3,92,696","1,22,077","45,663","16,511","5,676","25,175","10,352"
,5-Mar,"13,42,145","1,983","7,44,142","3,13,682","1,34,664","46,743","14,912","66,331","19,688"
,8-Jun,"6,22,563","1,394","2,92,589","1,61,897","74,037","26,103","7,759","50,322","8,462"
 ANDHRA PRADESH                                              ,      9+      ,"1,58,204",672,"53,499","37,765","22,218","10,130","4,132","27,596","2,192"
RURAL,,,,,,,,,,
Total , ,,,,,,,,,
,Total,"11,15,39,448","26,960","4,55,34,665","3,41,87,149","1,50,58,274","77,20,272","35,40,678","43,15,669","11,55,781"
,2-Jan,"1,31,21,769","3,592","76,89,632","35,19,254","10,18,678","3,90,630","1,42,463","1,80,653","1,76,867"
,5-Mar,"4,83,18,700","11,008","2,27,43,993","1,52,72,652","55,14,741","23,62,309","9,14,728","9,39,235","5,60,034"
,8-Jun,"3,48,85,670","7,913","1,21,36,356","1,14,72,197","55,71,116","28,37,496","12,34,875","13,07,256","3,18,461"
 ,      9+      ,"1,52,13,309","4,447","29,64,684","39,23,046","29,53,739","21,29,837","12,48,612","18,88,525","1,00,419"
Owned ,,,,,,,,,,
,Total,"10,54,88,253","22,027","4,25,23,308","3,24,17,859","1,43,76,031","74,85,547","34,70,021","41,14,829","10,78,631"
