" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
 ORISSA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"59,83,250","1,325","17,62,490","23,64,770","9,60,645","4,85,040","1,85,235","1,96,775","26,970"
,1-2,"7,66,835",230,"3,87,420","2,71,915","64,380","20,290","6,800","8,600","7,200"
,3-5,"27,70,120",610,"9,57,120","11,92,665","3,78,775","1,43,500","46,240","39,005","12,205"
,6-8,"17,96,075",400,"3,64,785","7,37,335","3,67,525","1,90,230","68,950","61,035","5,815"
 ,      9+      ,"6,50,220",85,"53,165","1,62,855","1,49,965","1,31,020","63,245","88,135","1,750"
Owned ,,,,,,,,,,
,Total,"53,97,745","1,130","15,43,455","21,42,380","8,78,185","4,54,295","1,74,030","1,80,825","23,445"
,1-2,"6,26,260",155,"3,12,415","2,29,485","50,610","16,170","5,315","6,230","5,880"
,3-5,"24,77,620",530,"8,52,300","10,77,255","3,36,135","1,28,370","40,690","31,725","10,615"
,6-8,"16,66,740",360,"3,30,120","6,81,775","3,45,810","1,81,025","65,790","56,545","5,315"
 ,      9+      ,"6,27,125",85,"48,620","1,53,865","1,45,630","1,28,730","62,235","86,325","1,635"
Rented ,,,,,,,,,,
,Total,"4,85,570",140,"1,75,030","1,93,455","69,860","26,250","8,950","9,245","2,640"
,1-2,"1,13,820",55,"60,335","35,820","10,940","3,240","1,105","1,380",945
,3-5,"2,43,885",55,"82,855","1,00,880","36,715","13,130","4,570","4,440","1,240"
,6-8,"1,09,350",30,"28,240","48,975","18,665","7,970","2,570","2,535",365
 ,      9+      ,"18,515",0,"3,600","7,780","3,540","1,910",705,890,90
Others ,,,,,,,,,,
,Total,"99,935",55,"44,005","28,935","12,600","4,495","2,255","6,705",885
,1-2,"26,755",20,"14,670","6,610","2,830",880,380,990,375
,3-5,"48,615",25,"21,965","14,530","5,925","2,000",980,"2,840",350
,6-8,"19,985",10,"6,425","6,585","3,050","1,235",590,"1,955",135
,      9+      ,"4,580",0,945,"1,210",795,380,305,920,25
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"51,68,270","1,110","15,07,215","20,64,370","8,32,495","4,19,090","1,57,440","1,64,255","22,295"
,1-2,"6,36,810",155,"3,18,630","2,31,670","52,950","16,290","5,380","6,105","5,630"
,3-5,"23,97,035",535,"8,31,330","10,45,460","3,22,665","1,19,580","36,755","30,465","10,245"
,6-8,"15,60,820",350,"3,12,695","6,45,140","3,23,060","1,65,190","58,890","50,445","5,050"
 ,      9+      ,"5,73,605",70,"44,560","1,42,100","1,33,820","1,18,030","56,415","77,240","1,370"
Owned ,,,,,,,,,,
,Total,"49,53,235","1,050","14,18,145","19,91,700","8,03,425","4,09,100","1,53,880","1,55,155","20,780"
,1-2,"5,71,190",140,"2,84,520","2,12,345","45,800","14,235","4,570","4,555","5,025"
,3-5,"22,92,925",510,"7,89,230","10,08,740","3,08,685","1,14,630","35,205","26,270","9,655"
,6-8,"15,22,410",330,"3,01,205","6,30,675","3,16,470","1,62,835","58,030","48,090","4,775"
 ,      9+      ,"5,66,710",70,"43,190","1,39,940","1,32,470","1,17,400","56,075","76,240","1,325"
Rented ,,,,,,,,,,
,Total,"1,49,645",40,"59,480","54,080","21,220","7,430","2,590","3,995",810
,1-2,"46,110",10,"23,635","14,485","4,925","1,405",555,785,310
,3-5,"72,305",15,"27,155","27,340","10,465","3,870","1,195","1,955",310
,6-8,"27,075",15,"7,795","10,740","4,990","1,745",685,945,160
 ,      9+      ,"4,155",0,895,"1,515",840,410,155,310,30
